Date,SP_Price,SP_Divi,SP_Yield,SP_TR,SP_TR_Index,Bond_Yield,Bond_px_chg,Bond_Price_index,Bond_TR,Bond_TR_Index
01/01/1871,4.44,0.26,5.8558558559,,1,5.32,,1,,1
01/02/1871,4.5,0.26,5.7777777778,0.0183933934,1.0183933934,5.32,-0.0002833333,0.9997166667,0.0041527778,1.0041527778
01/03/1871,4.61,0.26,5.6399132321,0.0292592593,1.0481908297,5.33,-0.0002833333,0.9994334136,0.0041555556,1.0083255904
01/04/1871,4.74,0.26,5.4852320675,0.0328994939,1.0826757775,5.33,-0.0002833333,0.9991502408,0.0041583333,1.0125185443
01/05/1871,4.86,0.26,5.3497942387,0.0298874824,1.1150342307,5.33,-0.0002833333,0.9988671482,0.0041611111,1.0167317465
01/06/1871,4.82,0.26,5.3941908714,-0.0037722908,1.1108279974,5.34,-0.0002833333,0.9985841359,0.0041638889,1.0209653045
01/07/1871,4.73,0.26,5.4968287526,-0.0141770401,1.0950797443,5.34,-0.0002833333,0.9983012037,0.0041666667,1.0252193266
01/08/1871,4.79,0.26,5.4279749478,0.0172656801,1.1139870408,5.34,-0.0002833333,0.9980183517,0.0041694444,1.0294939217
01/09/1871,4.84,0.26,5.3719008264,0.0149617258,1.1306542095,5.35,-0.0002833333,0.9977355798,0.0041722222,1.0337891991
01/10/1871,4.59,0.26,5.6644880174,-0.0471763085,1.0773141176,5.35,-0.0002833333,0.9974528881,0.004175,1.038105269
01/11/1871,4.64,0.26,5.6034482759,0.0156136529,1.0941349263,5.35,-0.0002833333,0.9971702764,0.0041777778,1.0424422421
01/12/1871,4.74,0.26,5.4852320675,0.0262212644,1.1228245274,5.36,-0.0002833333,0.9968877449,0.0041805556,1.0468002298
01/01/1872,4.86,0.26,5.3497942387,0.0299454993,1.1564480685,5.36,-0.0002833333,0.9966052933,0.0041833333,1.0511793441
01/02/1872,4.88,0.27,5.5327868852,0.0086882716,1.1664956035,5.38,-0.0015583333,0.9950522501,0.0029236111,1.0542525837
01/03/1872,5.04,0.27,5.3571428571,0.037397541,1.2101196706,5.4,-0.0015583333,0.993501627,0.0029388889,1.0573509149
01/04/1872,5.18,0.27,5.2123552124,0.032296627,1.2492024542,5.42,-0.0015583333,0.9919534203,0.0029541667,1.0604745058
01/05/1872,5.18,0.28,5.4054054054,0.0044514157,1.2547631736,5.43,-0.0015583333,0.9904076262,0.0029694444,1.0636235259
01/06/1872,5.13,0.28,5.4580896686,-0.0051480051,1.2483036463,5.45,-0.0015583333,0.988864241,0.0029847222,1.0667981467
01/07/1872,5.1,0.28,5.4901960784,-0.0012459389,1.2467483362,5.47,-0.0015583333,0.9873232609,0.003,1.0699985411
01/08/1872,5.04,0.29,5.753968254,-0.0070800654,1.2379212765,5.49,-0.0015583333,0.9857846821,0.0030152778,1.0732248839
01/09/1872,4.95,0.29,5.8585858586,-0.0130621693,1.2217513392,5.51,-0.0015583333,0.984248501,0.0030305556,1.0764773516
01/10/1872,4.97,0.29,5.8350100604,0.0089781145,1.2327203626,5.53,-0.0015583333,0.9827147138,0.0030458333,1.0797561222
01/11/1872,4.95,0.3,6.0606060606,0.0009507042,1.2338923151,5.54,-0.0015583333,0.9811833167,0.0030611111,1.0830613756
01/12/1872,5.07,0.3,5.9171597633,0.0292929293,1.2700366354,5.56,-0.0015583333,0.979654306,0.0030763889,1.0863932936
01/01/1873,5.11,0.3,5.8708414873,0.0128616042,1.2863713439,5.58,-0.0015583333,0.978127678,0.0030916667,1.0897520595
01/02/1873,5.15,0.31,6.0194174757,0.012801696,1.3028390789,5.57,0.0007791667,0.9788898025,0.0054215278,1.0956601806
01/03/1873,5.11,0.31,6.0665362035,-0.0027912621,1.2992025135,5.56,0.0007791667,0.9796525208,0.0054138889,1.1015919631
01/04/1873,5.04,0.31,6.1507936508,-0.0086431833,1.287973268,5.55,0.0007791667,0.9804158334,0.00540625,1.1075474446
01/05/1873,5.05,0.31,6.1386138614,0.0071511243,1.297183725,5.54,0.0007791667,0.9811797407,0.0053986111,1.1135266626
01/06/1873,4.98,0.32,6.4257028112,-0.0086633663,1.2859457472,5.53,0.0007791667,0.9819442433,0.0053909722,1.1195296539
01/07/1873,4.97,0.32,6.4386317907,0.0033048862,1.2901956515,5.53,0.0007791667,0.9827093415,0.0053833333,1.1255564552
01/08/1873,4.97,0.32,6.4386317907,0.0053655265,1.2971182305,5.52,0.0007791667,0.9834750359,0.0053756944,1.1316071028
01/09/1873,4.59,0.32,6.9716775599,-0.0710513078,1.2049562838,5.51,0.0007791667,0.9842413268,0.0053680556,1.1376816325
01/10/1873,4.19,0.33,7.8758949881,-0.0812454611,1.1070590548,5.5,0.0007791667,0.9850082149,0.0053604167,1.1437800801
01/11/1873,4.04,0.33,8.1683168317,-0.0292859984,1.0746377251,5.49,0.0007791667,0.9857757004,0.0053527778,1.1499024807
01/12/1873,4.42,0.33,7.4660633484,0.1008663366,1.1830324957,5.48,0.0007791667,0.986543784,0.0053451389,1.1560488692
01/01/1874,4.66,0.33,7.0815450644,0.060520362,1.2546300505,5.47,0.0007791667,0.987312466,0.0053375,1.16221928
01/02/1874,4.8,0.33,6.875,0.035944206,1.2997267315,5.44,0.0028333333,0.9901098514,0.0073638889,1.1707777337
01/03/1874,4.73,0.33,6.976744186,-0.0088541667,1.2882187344,5.4,0.0028333333,0.9929151626,0.0073361111,1.1793666892
01/04/1874,4.6,0.33,7.1739130435,-0.0216701903,1.2603027894,5.37,0.0028333333,0.9957284222,0.0073083333,1.1879858941
01/05/1874,4.48,0.33,7.3660714286,-0.0201086957,1.2349597441,5.34,0.0028333333,0.9985496528,0.0072805556,1.1966350914
01/06/1874,4.46,0.33,7.399103139,0.0016741071,1.2370271991,5.3,0.0028333333,1.0013788768,0.0072527778,1.2053140198
01/07/1874,4.46,0.33,7.399103139,0.0061659193,1.2446546089,5.27,0.0028333333,1.0042161169,0.007225,1.2140224136
01/08/1874,4.47,0.33,7.3825503356,0.0084080717,1.2551197542,5.24,0.0028333333,1.0070613959,0.0071972222,1.2227600027
01/09/1874,4.54,0.33,7.268722467,0.0218120805,1.2824965273,5.2,0.0028333333,1.0099147366,0.0071694444,1.2315265126
01/10/1874,4.53,0.33,7.2847682119,0.0038546256,1.2874400712,5.17,0.0028333333,1.0127761616,0.0071416667,1.2403216644
01/11/1874,4.57,0.33,7.2210065646,0.0149006623,1.3066237809,5.14,0.0028333333,1.0156456941,0.0071138889,1.249145175
01/12/1874,4.54,0.33,7.268722467,-0.000547046,1.3059089976,5.1,0.0028333333,1.0185233569,0.0070861111,1.2579967565
01/01/1875,4.54,0.33,7.268722467,0.0060113803,1.3137593133,5.07,0.0028333333,1.0214091731,0.0070583333,1.2668761169
01/02/1875,4.53,0.33,7.2847682119,0.0037628488,1.3187027909,5.03,0.0034,1.0248819643,0.0075916667,1.2764938181
01/03/1875,4.59,0.32,6.9716775599,0.0191777042,1.3439924829,4.99,0.0034,1.0283665629,0.0075583333,1.2861419839
01/04/1875,4.65,0.32,6.8817204301,0.0188816267,1.3693692473,4.95,0.0034,1.0318630093,0.007525,1.2958202023
01/05/1875,4.47,0.32,7.158836689,-0.0330197133,1.3241530674,4.91,0.0034,1.0353713435,0.0074916667,1.3055280553
