Ticker,Weight,Sector
MG,10,Consumer Discretionary
TRI,0,Consumer Discretionary
QSR,0,Consumer Discretionary
DOL,0,Consumer Discretionary
SJR.B,0,Consumer Discretionary
CTC.A,0,Consumer Discretionary
GIL,0,Consumer Discretionary
ATD.B,10,Consumer Staples
L,0,Consumer Staples
SAP,0,Consumer Staples
MRU,0,Consumer Staples
WN,0,Consumer Staples
SU,10,Energy
ENB,0,Energy
CNQ,0,Energy
TRP,0,Energy
CVE,0,Energy
PPL,0,Energy
IMO,0,Energy
CPG,0,Energy
IPL,0,Energy
ECA,0,Energy
ARX,0,Energy
CCO,0,Energy
HSE,0,Energy
RY,10,Financials
TD,0,Financials
BNS,0,Financials
BMO,0,Financials
CM,0,Financials
BAM.A,0,Financials
MFC,0,Financials
SLF,0,Financials
NA,0,Financials
POW,0,Financials
VRX,10,Health Care
CNR,10,Industrials
CP,0,Industrials
SNC,0,Industrials
BBD.B,0,Industrials
GIB.A,10,Information Technology
CSU,0,Information Technology
BB,0,Information Technology
ABX,10,Materials
G,0,Materials
POT,0,Materials
AGU,0,Materials
FNV,0,Materials
AEM,0,Materials
SLW,0,Materials
K,0,Materials
TCK.B,0,Materials
YRI,0,Materials
FM,0,Materials
ELD,0,Materials
BCE,10,Telecommunications
T,0,Telecommunications
RCI.B,0,Telecommunications
FTS,10,Utilities
EMA,0,Utilities
,,
,,
 ,,
