Country,Weight
UK,0.065
FRANCE,0.033
GERMANY,0.031
SWITZERLAND,0.031
SPAIN,0.011
NETHERLANDS,0.01
SWEDEN,0.01
ITALY,0.007
DENMARK,0.007
BELGIUM,0.005
FINLAND,0.003
ISRAEL,0.002
NORWAY,0.002
IRELAND,0.002
AUSTRIA,0.001
PORTUGAL,0.001
JAPAN,0.075
AUSTRALIA,0.024
HONG_KONG,0.011
SINGAPORE,0.005
NEW_ZEALAND,0.001
USA,0.532
CANADA,0.031
SOUTH_AFRICA,0.007
RUSSIA,0.004
TURKEY,0.002
POLAND,0.0007
QATAR,0.0005
UAE,0.0004
GREECE,0.0003
HUNGARY,0.0003
CZECH,0.0003
EGYPT,0.0003
CHINA,0.024
KOREA,0.016
TAIWAN,0.013
INDIA,0.008
MALAYSIA,0.004
INDONESIA,0.003
THAILAND,0.002
PHILLIPINES,0.0009
BRAZIL,0.007
MEXICO,0.005
CHILE,0.0006
COLOMBIA,0.0004
PERU,0.0003
