Country,Weight
AUSTRALIA,0.0349999965
HONG_KONG,0.0249999975
JAPAN,0.06666666
NEW_ZEALAND,0.0149999985
SINGAPORE,0.0249999975
AUSTRIA,0.003333333
BELGIUM,0.006666666
FINLAND,0.006666666
FRANCE,0.023333331
GERMANY,0.0149999985
IRELAND,0.003333333
ISRAEL,0.006666666
ITALY,0.013333332
NETHERLANDS,0.006666666
NORWAY,0.006666666
PORTUGAL,0.0049999995
SPAIN,0.0183333315
SWEDEN,0.006666666
SWITZERLAND,0.0149999985
UK,0.029999997
USA,0.09999999
CANADA,0.06666666
SOUTH_AFRICA,0.0375
RUSSIA,0.0255
TURKEY,0.012
POLAND,0.009
QATAR,0.012
UAE,0.012
GREECE,0.012
HUNGARY,0.009
CZECH,0.009
EGYPT,0.012
CHINA,0.06
KOREA,0.03
TAIWAN,0.03
INDIA,0.04
MALAYSIA,0.01
INDONESIA,0.01
THAILAND,0.01
PHILLIPINES,0.01
BRAZIL,0.0525
MEXICO,0.0525
CHILE,0.015
COLOMBIA,0.015
PERU,0.015
