Country,Weight
UK,0.0722222222
FRANCE,0.0366666667
GERMANY,0.0344444444
SWITZERLAND,0.0344444444
SPAIN,0.0122222222
NETHERLANDS,0.0111111111
SWEDEN,0.0111111111
ITALY,0.0077777778
DENMARK,0.0077777778
BELGIUM,0.0055555556
FINLAND,0.0033333333
ISRAEL,0.0022222222
NORWAY,0.0022222222
IRELAND,0.0022222222
AUSTRIA,0.0011111111
PORTUGAL,0.0011111111
JAPAN,0.0833333333
AUSTRALIA,0.0266666667
HONG_KONG,0.0122222222
SINGAPORE,0.0055555556
NEW_ZEALAND,0.0011111111
USA,0.5911111111
CANADA,0.0344444444
