c1,c2,c3,w1,w2,w3
0.25,0,0.25,0.35,0.3,0.35
0.25,0,0,0.32,0.32,0.36
0,0.9,0.9,0.45,0.36,0.19
0,0.9,0.75,0.42,0.42,0.16
0,0.9,0.5,0.45,0.45,0.1
0,0.9,0.25,0.36,0.45,0.19
0,0.9,0,0.27,0.46,0.27
0,0.75,0.9,0.42,0.42,0.16
0,0.75,0.75,0.4,0.4,0.2
0,0.75,0.5,0.41,0.41,0.18
0,0.75,0.25,0.38,0.42,0.2
0,0.75,0,0.29,0.42,0.29
0,0.5,0.9,0.45,0.45,0.1
0,0.5,0.75,0.41,0.41,0.18
0,0.5,0.5,0.37,0.37,0.26
0,0.5,0.25,0.34,0.38,0.28
0,0.5,0,0.3,0.4,0.3
0,0.25,0.9,0.45,0.36,0.19
0,0.25,0.75,0.42,0.38,0.2
0,0.25,0.5,0.38,0.34,0.28
0,0.25,0.25,0.35,0.35,0.3
0,0.25,0,0.32,0.36,0.32
0,0,0.9,0.46,0.27,0.27
0,0,0.75,0.42,0.29,0.29
0,0,0.5,0.4,0.3,0.3
0,0,0.25,0.36,0.32,0.32
0,0,0,0.333,0.333,0.333
