Date,Value
01/01/03,2.29
01/02/03,1.99
01/03/03,1.94
01/04/03,2.18
01/05/03,1.91
01/06/03,1.72
01/07/03,2.11
01/08/03,2.32
01/09/03,2.19
01/10/03,2.08
01/11/03,1.96
01/12/03,1.98
01/01/04,1.89
01/02/04,1.76
01/03/04,1.47
01/04/04,1.9
01/05/04,2.09
01/06/04,2.15
01/07/04,2.02
01/08/04,1.86
01/09/04,1.8
01/10/04,1.73
01/11/04,1.68
01/12/04,1.67
01/01/05,1.72
01/02/05,1.63
01/03/05,1.79
01/04/05,1.71
01/05/05,1.65
01/06/05,1.67
01/07/05,1.88
01/08/05,1.89
01/09/05,1.7
01/10/05,1.94
01/11/05,2.06
01/12/05,2.12
01/01/06,2.01
01/02/06,2.05
01/03/06,2.2
01/04/06,2.41
01/05/06,2.45
01/06/06,2.53
01/07/06,2.51
01/08/06,2.29
01/09/06,2.32
01/10/06,2.41
01/11/06,2.29
01/12/06,2.25
01/01/07,2.44
01/02/07,2.36
01/03/07,2.18
01/04/07,2.26
01/05/07,2.37
01/06/07,2.69
01/07/07,2.64
01/08/07,2.44
01/09/07,2.26
01/10/07,2.2
01/11/07,1.77
01/12/07,1.79
01/01/08,1.47
01/02/08,1.41
01/03/08,1.09
01/04/08,1.36
01/05/08,1.46
01/06/08,1.63
01/07/08,1.57
01/08/08,1.68
01/09/08,1.85
01/10/08,2.75
01/11/08,2.89
01/12/08,2.17
01/01/09,1.91
01/02/09,1.75
01/03/09,1.71
01/04/09,1.57
01/05/09,1.72
01/06/09,1.86
01/07/09,1.82
01/08/09,1.77
01/09/09,1.64
01/10/09,1.48
01/11/09,1.28
01/12/09,1.36
01/01/10,1.37
01/02/10,1.42
01/03/10,1.51
01/04/10,1.5
01/05/10,1.31
01/06/10,1.26
01/07/10,1.24
01/08/10,1.02
01/09/10,0.91
01/10/10,0.53
01/11/10,0.67
01/12/10,1.04
01/01/11,1.06
01/02/11,1.24
01/03/11,0.96
01/04/11,0.86
01/05/11,0.78
01/06/11,0.76
01/07/11,0.62
01/08/11,0.14
01/09/11,0.08
01/10/11,0.19
01/11/11,0
01/12/11,-0.03
01/01/12,-0.11
01/02/12,-0.25
01/03/12,-0.14
01/04/12,-0.21
01/05/12,-0.34
01/06/12,-0.5
01/07/12,-0.6
01/08/12,-0.59
01/09/12,-0.71
01/10/12,-0.75
01/11/12,-0.77
01/12/12,-0.76
01/01/13,-0.61
01/02/13,-0.57
01/03/13,-0.59
01/04/13,-0.65
01/05/13,-0.36
01/06/13,0.25
01/07/13,0.46
01/08/13,0.55
01/09/13,0.66
01/10/13,0.43
01/11/13,0.55
01/12/13,0.74
01/01/14,0.63
01/02/14,0.55
01/03/14,0.56
01/04/14,0.54
01/05/14,0.37
01/06/14,0.37
01/07/14,0.28
01/08/14,0.22
01/09/14,0.46
01/10/14,0.38
01/11/14,0.45
01/12/14,0.51
01/01/15,0.27
01/02/15,0.26
01/03/15,0.28
01/04/15,0.08
01/05/15,0.33
01/06/15,0.5
01/07/15,0.5
01/08/15,0.56
01/09/15,0.65
01/10/15,0.57
01/11/15,0.69
01/12/15,0.73
01/01/16,0.67
01/02/16,0.47
01/03/16,0.34
01/04/16,0.19
01/05/16,0.21
