Country,,Value
CHL,01/07/97,12.54
CHL,01/08/97,13.77
CHL,01/09/97,13.47
CHL,01/10/97,14.82
CHL,01/11/97,13.04
CHL,01/12/97,10.63
CHL,01/01/98,19.17
CHL,01/02/98,18.23
CHL,01/03/98,14.36
CHL,01/04/98,15.72
CHL,01/05/98,14.75
CHL,01/06/98,14.86
CHL,01/07/98,16.48
CHL,01/08/98,18.65
CHL,01/10/98,18.78
CHL,01/11/98,14.89
CHL,01/12/98,13.49
CHL,01/01/99,12.75
CHL,01/02/99,10.04
CHL,01/03/99,11.09
CHL,01/04/99,13.59
CHL,01/05/99,11.71
CHL,01/06/99,9.28
CHL,01/07/99,9.76
CHL,01/08/99,9.93
CHL,01/09/99,9.91
CHL,01/10/99,10.68
CHL,01/11/99,11.63
CHL,01/12/99,11.09
CHL,01/01/00,10.05
CHL,01/02/00,12.17
CHL,01/03/00,13.43
CHL,01/04/00,11.76
CHL,01/05/00,10.67
CHL,01/06/00,9.72
CHL,01/07/00,9.9
CHL,01/08/00,9.37
CHL,01/09/00,10.32
CHL,01/10/00,11.5
CHL,01/11/00,10.9
CHL,01/12/00,9.3
CHL,01/01/01,8.3
CHL,01/02/01,8.06
CHL,01/03/01,6.14
CHL,01/04/01,8.62
CHL,01/05/01,8.69
CHL,01/06/01,6.74
CHL,01/07/01,6.44
CHL,01/08/01,7.07
CHL,01/09/01,7.18
CHL,01/10/01,6.61
CHL,01/11/01,6.44
CHL,01/12/01,6.51
CHL,01/01/02,6
CHL,01/02/02,5.56
CHL,01/03/02,4.73
CHL,01/04/02,4.39
CHL,01/05/02,4.15
CHL,01/06/02,4.03
CHL,01/07/02,3.51
CHL,01/08/02,2.96
CHL,01/09/02,2.99
CHL,01/10/02,3.03
CHL,01/11/02,2.87
CHL,01/12/02,2.88
CHL,01/01/03,2.97
CHL,01/02/03,2.94
CHL,01/03/03,2.65
CHL,01/04/03,2.48
CHL,01/05/03,2.59
CHL,01/06/03,2.78
CHL,01/07/03,2.97
CHL,01/08/03,2.94
CHL,01/09/03,2.84
CHL,01/10/03,2.75
CHL,01/11/03,2.72
CHL,01/12/03,2.58
CHL,01/01/04,1.8
CHL,01/02/04,1.58
