Country,,Value
CHL,01/03/04,1.57
CHL,01/04/04,1.49
CHL,01/05/04,1.31
CHL,01/06/04,1.53
CHL,01/07/04,1.66
CHL,01/08/04,1.68
CHL,01/09/04,2.33
CHL,01/10/04,2.35
CHL,01/11/04,2.34
CHL,01/12/04,2.32
CHL,01/01/05,2.49
CHL,01/02/05,2.95
CHL,01/03/05,2.83
CHL,01/04/05,2.92
CHL,01/05/05,3.24
CHL,01/06/05,2.85
CHL,01/07/05,3.01
CHL,01/08/05,3.83
CHL,01/09/05,4.25
CHL,01/10/05,4.52
CHL,01/11/05,4.73
CHL,01/12/05,4.75
CHL,01/01/06,4.64
CHL,01/02/06,4.39
CHL,01/03/06,4.48
CHL,01/04/06,4.5
CHL,01/05/06,4.64
CHL,01/06/06,4.82
CHL,01/07/06,4.92
CHL,01/08/06,5.2
CHL,01/09/06,5.21
CHL,01/10/06,4.95
CHL,01/11/06,5.06
CHL,01/12/06,5.1
CHL,01/01/07,5.04
CHL,01/02/07,4.84
CHL,01/03/07,4.61
CHL,01/04/07,4.75
CHL,01/05/07,4.86
CHL,01/06/07,4.75
CHL,01/07/07,4.87
CHL,01/08/07,5.45
CHL,01/09/07,5.5
CHL,01/10/07,5.41
CHL,01/11/07,5.92
CHL,01/12/07,6.15
CHL,01/01/08,6.5
CHL,01/02/08,6.6
CHL,01/03/08,6.61
CHL,01/04/08,6.61
CHL,01/05/08,6.68
CHL,01/06/08,7.32
CHL,01/07/08,7.57
CHL,01/11/08,8.36
CHL,01/12/08,8.18
CHL,01/01/09,6.74
CHL,01/02/09,4.43
CHL,01/03/09,2.62
CHL,01/04/09,1.89
CHL,01/05/09,1.2
CHL,01/06/09,1.08
CHL,01/07/09,0.6
CHL,01/08/09,0.46
CHL,01/09/09,0.49
CHL,01/10/09,0.49
CHL,01/11/09,0.48
CHL,01/12/09,0.48
CHL,01/01/10,0.46
CHL,01/02/10,0.49
CHL,01/03/10,0.5
CHL,01/06/10,1.44
CHL,01/07/10,1.85
CHL,01/08/10,2.47
CHL,01/09/10,2.99
CHL,01/10/10,3.21
CHL,01/11/10,3.26
CHL,01/12/10,3.4
CHL,01/01/11,3.6
CHL,01/02/11,3.88
CHL,01/03/11,4.26
CHL,01/04/11,5.01
CHL,01/05/11,5.37
CHL,01/06/11,5.55
CHL,01/07/11,5.56
CHL,01/08/11,5.35
CHL,01/09/11,5.28
CHL,01/10/11,5.14
CHL,01/11/11,5.11
CHL,01/01/12,4.84
CHL,01/02/12,4.98
CHL,01/03/12,5.07
CHL,01/04/12,5.05
CHL,01/05/12,5.16
CHL,01/09/12,4.96
CHL,01/01/13,5.08
CHL,01/04/13,5.03
CHL,01/05/13,4.98
CHL,01/06/13,4.91
CHL,01/07/13,4.88
CHL,01/09/13,4.75
CHL,01/01/14,4.45
CHL,01/02/14,4.19
CHL,01/03/14,4.04
CHL,01/04/14,3.72
CHL,01/06/14,3.95
CHL,01/07/14,3.77
CHL,01/01/15,2.81
CHL,01/02/15,3.08
CHL,01/03/15,3.03
CHL,01/04/15,3.03
CHL,01/06/15,2.85
CHL,01/01/16,3.5
CHL,01/02/16,3.61
CHL,01/03/16,3.6
CHL,01/04/16,3.5
USA,01/06/64,3.86
USA,01/07/64,3.87
USA,01/08/64,3.85
USA,01/09/64,3.87
USA,01/10/64,3.94
USA,01/11/64,3.99
USA,01/12/64,4.14
USA,01/01/65,4.13
USA,01/02/65,4.19
USA,01/03/65,4.27
USA,01/04/65,4.28
USA,01/05/65,4.32
USA,01/06/65,4.31
USA,01/07/65,4.29
USA,01/08/65,4.3
USA,01/09/65,4.34
USA,01/10/65,4.46
USA,01/11/65,4.49
USA,01/12/65,4.75
USA,01/01/66,4.95
USA,01/02/66,5.05
USA,01/03/66,5.19
USA,01/04/66,5.26
USA,01/05/66,5.38
USA,01/06/66,5.5
USA,01/07/66,5.62
USA,01/08/66,5.72
USA,01/09/66,5.86
USA,01/10/66,5.83
USA,01/11/66,5.79
USA,01/12/66,5.65
USA,01/01/67,5.4
USA,01/02/67,5.18
USA,01/03/67,5.01
USA,01/04/67,4.43
USA,01/05/67,4.49
USA,01/06/67,4.66
USA,01/07/67,5
USA,01/08/67,4.93
USA,01/09/67,4.91
USA,01/10/67,5.22
USA,01/11/67,5.4
USA,01/12/67,5.62
USA,01/01/68,5.48
USA,01/02/68,5.33
USA,01/03/68,5.58
USA,01/04/68,5.78
USA,01/05/68,6.14
USA,01/06/68,6.12
USA,01/07/68,6.03
USA,01/08/68,5.85
USA,01/09/68,5.78
USA,01/10/68,5.9
USA,01/11/68,6.05
USA,01/12/68,6.27
USA,01/01/69,6.5
USA,01/02/69,6.52
USA,01/03/69,6.65
USA,01/04/69,6.84
USA,01/05/69,7.28
USA,01/06/69,8.01
USA,01/07/69,8.69
USA,01/08/69,8.38
USA,01/09/69,8.47
USA,01/10/69,8.56
USA,01/11/69,8.46
USA,01/12/69,8.77
USA,01/01/70,8.91
USA,01/02/70,8.58
USA,01/03/70,8.08
USA,01/04/70,7.51
USA,01/05/70,8.08
USA,01/06/70,8.07
USA,01/07/70,8.01
USA,01/08/70,7.72
USA,01/09/70,7.3
USA,01/10/70,6.76
USA,01/11/70,6.08
USA,01/12/70,5.67
USA,01/01/71,5.09
USA,01/02/71,4.38
USA,01/03/71,3.85
USA,01/04/71,4.45
USA,01/05/71,4.98
USA,01/06/71,5.4
USA,01/07/71,5.75
USA,01/08/71,5.74
USA,01/09/71,5.63
USA,01/10/71,5.27
USA,01/11/71,4.87
USA,01/12/71,4.65
USA,01/01/72,3.95
USA,01/02/72,3.61
USA,01/03/72,4.08
USA,01/04/72,4.6
USA,01/05/72,4.41
USA,01/06/72,4.64
USA,01/07/72,4.82
USA,01/08/72,4.85
USA,01/09/72,5.13
USA,01/10/72,5.25
USA,01/11/72,5.22
USA,01/12/72,5.43
USA,01/01/73,5.81
USA,01/02/73,6.34
USA,01/03/73,7.05
USA,01/04/73,7.31
USA,01/05/73,7.55
USA,01/06/73,8.16
USA,01/07/73,9.7
USA,01/08/73,10.77
USA,01/09/73,10.59
USA,01/10/73,9.2
USA,01/11/73,9.24
USA,01/12/73,9.27
USA,01/01/74,9
USA,01/02/74,8.08
USA,01/03/74,8.84
USA,01/04/74,10.25
USA,01/05/74,11.2
USA,01/06/74,11.38
USA,01/07/74,12.25
USA,01/08/74,12.23
USA,01/09/74,11.6
USA,01/10/74,9.78
USA,01/11/74,9.09
USA,01/12/74,9.23
USA,01/01/75,7.48
USA,01/02/75,6.41
USA,01/03/75,6.18
USA,01/04/75,6.26
USA,01/05/75,5.79
USA,01/06/75,5.82
USA,01/07/75,6.55
USA,01/08/75,6.87
USA,01/09/75,7.03
USA,01/10/75,6.56
USA,01/11/75,6.26
USA,01/12/75,6.03
USA,01/01/76,5.14
USA,01/02/76,5.18
USA,01/03/76,5.34
USA,01/04/76,5.12
USA,01/05/76,5.56
USA,01/06/76,5.84
USA,01/07/76,5.52
USA,01/08/76,5.39
USA,01/09/76,5.33
USA,01/10/76,5.12
USA,01/11/76,5.01
USA,01/12/76,4.67
USA,01/01/77,4.83
USA,01/02/77,4.83
USA,01/03/77,4.84
USA,01/04/77,4.8
USA,01/05/77,5.36
USA,01/06/77,5.42
USA,01/07/77,5.46
USA,01/08/77,5.9
USA,01/09/77,6.19
USA,01/10/77,6.67
USA,01/11/77,6.68
USA,01/12/77,6.71
USA,01/01/78,6.94
USA,01/02/78,6.9
USA,01/03/78,6.86
USA,01/04/78,7.03
USA,01/05/78,7.4
USA,01/06/78,7.83
USA,01/07/78,8.12
USA,01/08/78,8.06
USA,01/09/78,8.64
USA,01/10/78,9.44
USA,01/11/78,10.72
USA,01/12/78,10.72
USA,01/01/79,10.51
USA,01/02/79,10.19
USA,01/03/79,10.13
USA,01/04/79,10.06
USA,01/05/79,10.16
USA,01/06/79,9.95
USA,01/07/79,10.11
USA,01/08/79,10.71
USA,01/09/79,11.89
USA,01/10/79,13.66
USA,01/11/79,13.9
USA,01/12/79,13.43
USA,01/01/80,13.39
USA,01/02/80,14.3
USA,01/03/80,17.57
USA,01/04/80,16.14
USA,01/05/80,9.79
USA,01/06/80,8.49
USA,01/07/80,8.65
USA,01/08/80,9.91
USA,01/09/80,11.29
USA,01/10/80,12.94
USA,01/11/80,15.68
USA,01/12/80,18.65
USA,01/01/81,17.19
USA,01/02/81,16.14
USA,01/03/81,14.43
USA,01/04/81,15.08
USA,01/05/81,18.27
USA,01/06/81,16.9
USA,01/07/81,17.76
USA,01/08/81,17.96
USA,01/09/81,16.84
USA,01/10/81,15.39
USA,01/11/81,12.48
USA,01/12/81,12.49
USA,01/01/82,13.51
USA,01/02/82,15
USA,01/03/82,14.21
USA,01/04/82,14.44
USA,01/05/82,13.8
USA,01/06/82,14.46
USA,01/07/82,13.44
USA,01/08/82,10.61
USA,01/09/82,10.66
USA,01/10/82,9.51
USA,01/11/82,8.95
USA,01/12/82,8.66
USA,01/01/83,8.36
USA,01/02/83,8.54
USA,01/03/83,8.69
USA,01/04/83,8.63
USA,01/05/83,8.49
USA,01/06/83,9.2
USA,01/07/83,9.5
USA,01/08/83,9.77
USA,01/09/83,9.39
USA,01/10/83,9.18
USA,01/11/83,9.36
USA,01/12/83,9.69
USA,01/01/84,9.42
USA,01/02/84,9.54
USA,01/03/84,10.08
USA,01/04/84,10.41
USA,01/05/84,11.11
USA,01/06/84,11.34
USA,01/07/84,11.56
USA,01/08/84,11.47
USA,01/09/84,11.29
USA,01/10/84,10.38
USA,01/11/84,9.18
USA,01/12/84,8.6
USA,01/01/85,8.14
USA,01/02/85,8.69
USA,01/03/85,9.02
USA,01/04/85,8.49
USA,01/05/85,7.92
USA,01/06/85,7.44
USA,01/07/85,7.64
USA,01/08/85,7.81
USA,01/09/85,7.93
USA,01/10/85,7.88
USA,01/11/85,7.81
USA,01/12/85,7.8
USA,01/01/86,7.82
USA,01/02/86,7.69
USA,01/03/86,7.24
USA,01/04/86,6.6
USA,01/05/86,6.65
USA,01/06/86,6.73
USA,01/07/86,6.37
USA,01/08/86,5.92
USA,01/09/86,5.71
USA,01/10/86,5.69
USA,01/11/86,5.76
USA,01/12/86,6.04
USA,01/01/87,5.87
USA,01/02/87,6.1
USA,01/03/87,6.17
USA,01/04/87,6.52
USA,01/05/87,6.99
USA,01/06/87,6.94
USA,01/07/87,6.7
USA,01/08/87,6.75
USA,01/09/87,7.37
USA,01/10/87,8.02
USA,01/11/87,7.24
USA,01/12/87,7.66
USA,01/01/88,6.92
USA,01/02/88,6.6
USA,01/03/88,6.63
USA,01/04/88,6.92
USA,01/05/88,7.24
USA,01/06/88,7.51
USA,01/07/88,7.94
USA,01/08/88,8.35
USA,01/09/88,8.23
USA,01/10/88,8.36
USA,01/11/88,8.78
USA,01/12/88,9.25
USA,01/01/89,9.2
USA,01/02/89,9.51
USA,01/03/89,10.09
USA,01/04/89,9.94
USA,01/05/89,9.59
USA,01/06/89,9.2
USA,01/07/89,8.76
USA,01/08/89,8.64
USA,01/09/89,8.78
USA,01/10/89,8.6
USA,01/11/89,8.39
USA,01/12/89,8.32
USA,01/01/90,8.16
USA,01/02/90,8.22
USA,01/03/90,8.35
USA,01/04/90,8.42
USA,01/05/90,8.35
USA,01/06/90,8.23
USA,01/07/90,8.1
USA,01/08/90,7.97
USA,01/09/90,8.06
USA,01/10/90,8.06
USA,01/11/90,8.03
USA,01/12/90,7.82
USA,01/01/91,7.17
USA,01/02/91,6.52
USA,01/03/91,6.45
USA,01/04/91,6.06
USA,01/05/91,5.91
USA,01/06/91,6.07
USA,01/07/91,5.98
USA,01/08/91,5.65
USA,01/09/91,5.47
USA,01/10/91,5.33
USA,01/11/91,4.94
USA,01/12/91,4.47
USA,01/01/92,4.05
USA,01/02/92,4.07
USA,01/03/92,4.25
USA,01/04/92,4
USA,01/05/92,3.82
USA,01/06/92,3.86
USA,01/07/92,3.37
USA,01/08/92,3.31
USA,01/09/92,3.13
USA,01/10/92,3.26
USA,01/11/92,3.58
USA,01/12/92,3.48
USA,01/01/93,3.19
USA,01/02/93,3.12
USA,01/03/93,3.11
USA,01/04/93,3.09
USA,01/05/93,3.1
USA,01/06/93,3.21
USA,01/07/93,3.16
USA,01/08/93,3.14
USA,01/09/93,3.12
USA,01/10/93,3.24
USA,01/11/93,3.35
USA,01/12/93,3.26
USA,01/01/94,3.15
USA,01/02/94,3.43
USA,01/03/94,3.77
USA,01/04/94,4.01
USA,01/05/94,4.51
USA,01/06/94,4.52
USA,01/07/94,4.73
USA,01/08/94,4.81
USA,01/09/94,5.03
USA,01/10/94,5.51
USA,01/11/94,5.79
USA,01/12/94,6.29
USA,01/01/95,6.24
USA,01/02/95,6.16
USA,01/03/95,6.15
USA,01/04/95,6.11
USA,01/05/95,6.02
USA,01/06/95,5.9
USA,01/07/95,5.77
USA,01/08/95,5.77
USA,01/09/95,5.73
USA,01/10/95,5.79
USA,01/11/95,5.74
USA,01/12/95,5.62
USA,01/01/96,5.39
USA,01/02/96,5.15
USA,01/03/96,5.29
USA,01/04/96,5.36
USA,01/05/96,5.36
USA,01/06/96,5.46
USA,01/07/96,5.53
USA,01/08/96,5.4
USA,01/09/96,5.51
USA,01/10/96,5.41
USA,01/11/96,5.38
USA,01/12/96,5.44
USA,01/01/97,5.43
USA,01/02/97,5.37
USA,01/03/97,5.53
USA,01/04/97,5.71
USA,01/05/97,5.7
USA,01/06/97,5.66
USA,01/07/97,5.6
USA,01/08/97,5.6
USA,01/09/97,5.6
USA,01/10/97,5.65
USA,01/11/97,5.74
USA,01/12/97,5.8
USA,01/01/98,5.54
USA,01/02/98,5.54
USA,01/03/98,5.58
USA,01/04/98,5.58
USA,01/05/98,5.59
USA,01/06/98,5.6
USA,01/07/98,5.59
USA,01/08/98,5.58
USA,01/09/98,5.41
USA,01/10/98,5.21
USA,01/11/98,5.24
USA,01/12/98,5.14
USA,01/01/99,4.89
USA,01/02/99,4.9
USA,01/03/99,4.91
USA,01/04/99,4.88
USA,01/05/99,4.92
USA,01/06/99,5.13
USA,01/07/99,5.24
USA,01/08/99,5.41
USA,01/09/99,5.5
USA,01/10/99,6.13
USA,01/11/99,6
USA,01/12/99,6.05
USA,01/01/00,5.95
USA,01/02/00,6.01
USA,01/03/00,6.14
USA,01/04/00,6.28
USA,01/05/00,6.71
USA,01/06/00,6.73
USA,01/07/00,6.67
USA,01/08/00,6.61
USA,01/09/00,6.6
USA,01/10/00,6.67
USA,01/11/00,6.65
USA,01/12/00,6.45
USA,01/01/01,5.62
USA,01/02/01,5.26
USA,01/03/01,4.89
USA,01/04/01,4.53
USA,01/05/01,4.02
USA,01/06/01,3.74
USA,01/07/01,3.66
USA,01/08/01,3.48
USA,01/09/01,2.87
USA,01/10/01,2.31
USA,01/11/01,2.03
USA,01/12/01,1.83
USA,01/01/02,1.74
USA,01/02/02,1.82
USA,01/03/02,1.91
USA,01/04/02,1.87
USA,01/05/02,1.82
USA,01/06/02,1.81
USA,01/07/02,1.79
USA,01/08/02,1.73
USA,01/09/02,1.76
USA,01/10/02,1.73
USA,01/11/02,1.39
USA,01/12/02,1.34
USA,01/01/03,1.29
USA,01/02/03,1.27
USA,01/03/03,1.23
USA,01/04/03,1.24
USA,01/05/03,1.22
USA,01/06/03,1.04
USA,01/07/03,1.05
USA,01/08/03,1.08
USA,01/09/03,1.08
USA,01/10/03,1.1
USA,01/11/03,1.11
USA,01/12/03,1.1
USA,01/01/04,1.06
USA,01/02/04,1.05
USA,01/03/04,1.05
USA,01/04/04,1.08
USA,01/05/04,1.2
USA,01/06/04,1.46
USA,01/07/04,1.57
USA,01/08/04,1.68
USA,01/09/04,1.86
USA,01/10/04,2.04
USA,01/11/04,2.26
USA,01/12/04,2.45
USA,01/01/05,2.61
USA,01/02/05,2.77
USA,01/03/05,2.97
USA,01/04/05,3.09
USA,01/05/05,3.22
USA,01/06/05,3.38
USA,01/07/05,3.57
USA,01/08/05,3.77
USA,01/09/05,3.87
USA,01/10/05,4.13
USA,01/11/05,4.31
USA,01/12/05,4.45
USA,01/01/06,4.56
USA,01/02/06,4.72
USA,01/03/06,4.88
USA,01/04/06,5.03
USA,01/05/06,5.15
USA,01/06/06,5.35
USA,01/07/06,5.46
USA,01/08/06,5.38
USA,01/09/06,5.34
USA,01/10/06,5.33
USA,01/11/06,5.32
USA,01/12/06,5.32
USA,01/01/07,5.32
USA,01/02/07,5.31
USA,01/03/07,5.3
USA,01/04/07,5.31
USA,01/05/07,5.31
USA,01/06/07,5.33
USA,01/07/07,5.32
USA,01/08/07,5.49
USA,01/09/07,5.46
USA,01/10/07,5.08
USA,01/11/07,4.97
USA,01/12/07,5.02
USA,01/01/08,3.84
USA,01/02/08,3.06
USA,01/03/08,2.79
USA,01/04/08,2.85
USA,01/05/08,2.66
USA,01/06/08,2.76
USA,01/07/08,2.79
USA,01/08/08,2.79
USA,01/09/08,3.59
USA,01/10/08,4.32
USA,01/11/08,2.36
USA,01/12/08,1.77
USA,01/01/09,1.02
USA,01/02/09,1.16
USA,01/03/09,1.07
USA,01/04/09,0.89
USA,01/05/09,0.57
USA,01/06/09,0.39
USA,01/07/09,0.35
USA,01/08/09,0.3
USA,01/09/09,0.25
USA,01/10/09,0.24
USA,01/11/09,0.21
USA,01/12/09,0.22
USA,01/01/10,0.2
USA,01/02/10,0.19
USA,01/03/10,0.23
USA,01/04/10,0.3
USA,01/05/10,0.45
USA,01/06/10,0.52
USA,01/07/10,0.41
USA,01/08/10,0.32
USA,01/09/10,0.28
USA,01/10/10,0.27
USA,01/11/10,0.27
USA,01/12/10,0.3
USA,01/01/11,0.29
USA,01/02/11,0.28
USA,01/03/11,0.28
USA,01/04/11,0.23
USA,01/05/11,0.21
USA,01/06/11,0.22
USA,01/07/11,0.24
USA,01/08/11,0.29
USA,01/09/11,0.33
USA,01/10/11,0.37
USA,01/11/11,0.41
USA,01/12/11,0.49
USA,01/01/12,0.4
USA,01/02/12,0.3
USA,01/03/12,0.29
USA,01/04/12,0.29
USA,01/05/12,0.29
USA,01/06/12,0.32
USA,01/07/12,0.3
USA,01/08/12,0.26
USA,01/09/12,0.24
USA,01/10/12,0.23
USA,01/11/12,0.23
USA,01/12/12,0.24
USA,01/01/13,0.23
USA,01/02/13,0.22
USA,01/03/13,0.21
USA,01/04/13,0.2
USA,01/05/13,0.2
USA,01/06/13,0.19
USA,01/07/13,0.14
USA,01/08/13,0.12
USA,01/09/13,0.11
USA,01/10/13,0.12
USA,01/11/13,0.12
USA,01/12/13,0.14
USA,01/01/14,0.12
USA,01/02/14,0.13
USA,01/03/14,0.12
USA,01/04/14,0.12
USA,01/05/14,0.11
USA,01/06/14,0.11
USA,01/07/14,0.13
USA,01/08/14,0.13
USA,01/09/14,0.12
USA,01/10/14,0.12
USA,01/11/14,0.13
USA,01/12/14,0.15
USA,01/01/15,0.16
USA,01/02/15,0.15
USA,01/03/15,0.14
USA,01/04/15,0.13
USA,01/05/15,0.15
USA,01/06/15,0.18
USA,01/07/15,0.19
USA,01/08/15,0.26
USA,01/09/15,0.27
USA,01/10/15,0.25
USA,01/11/15,0.3
USA,01/12/15,0.54
USA,01/01/16,0.57
USA,01/02/16,0.54
USA,01/03/16,0.55
USA,01/04/16,0.55
NZL,01/12/73,7.88
NZL,01/01/74,8.38
NZL,01/02/74,8.75
NZL,01/03/74,9
NZL,01/04/74,9
NZL,01/05/74,9.13
NZL,01/06/74,9.41
NZL,01/07/74,10
NZL,01/08/74,11.25
NZL,01/09/74,12.38
NZL,01/10/74,13.75
NZL,01/11/74,12.75
NZL,01/12/74,11
NZL,01/01/75,9.75
NZL,01/02/75,9.88
NZL,01/03/75,11
NZL,01/04/75,9.25
NZL,01/05/75,8.25
NZL,01/06/75,8
NZL,01/07/75,7
NZL,01/08/75,7.13
NZL,01/09/75,7.63
NZL,01/10/75,7.25
NZL,01/11/75,7.13
NZL,01/12/75,7.18
NZL,01/01/76,6.25
NZL,01/02/76,7.38
NZL,01/03/76,8.25
NZL,01/04/76,8.13
NZL,01/05/76,7.75
NZL,01/06/76,7.25
NZL,01/07/76,8.4
NZL,01/08/76,8.45
NZL,01/09/76,9.75
NZL,01/10/76,9.63
NZL,01/11/76,9.25
NZL,01/12/76,10.38
NZL,01/01/77,12
NZL,01/02/77,13.13
NZL,01/03/77,15
NZL,01/04/77,14.5
NZL,01/05/77,14.63
NZL,01/06/77,13.5
NZL,01/07/77,14.3
NZL,01/08/77,15.63
NZL,01/09/77,14.25
NZL,01/10/77,13.75
NZL,01/11/77,12.13
NZL,01/12/77,11.5
NZL,01/01/78,11.5
NZL,01/02/78,12.13
NZL,01/03/78,12.13
NZL,01/04/78,11.5
NZL,01/05/78,11
NZL,01/06/78,10.25
NZL,01/07/78,10
NZL,01/08/78,10.2
NZL,01/09/78,10.25
NZL,01/10/78,10.5
NZL,01/11/78,10.62
NZL,01/12/78,11.63
NZL,01/01/79,12.38
NZL,01/02/79,12.87
NZL,01/03/79,13.12
NZL,01/04/79,14.25
NZL,01/05/79,14.5
NZL,01/06/79,14.5
NZL,01/07/79,14.93
NZL,01/08/79,14.93
NZL,01/09/79,15.45
NZL,01/10/79,16.07
NZL,01/11/79,16.2
NZL,01/12/79,16.32
NZL,01/01/80,15.82
NZL,01/02/80,15.82
NZL,01/03/80,15.55
NZL,01/04/80,14.92
NZL,01/05/80,14.25
NZL,01/06/80,13.25
NZL,01/07/80,13.27
NZL,01/08/80,13.37
NZL,01/09/80,13.85
NZL,01/10/80,13.95
NZL,01/11/80,14.05
NZL,01/12/80,14.3
NZL,01/01/81,14.22
NZL,01/02/81,14.8
NZL,01/03/81,15.15
NZL,01/04/81,15.02
NZL,01/05/81,14.3
NZL,01/06/81,14.15
NZL,01/07/81,15.25
NZL,01/08/81,15.8
NZL,01/09/81,15.9
NZL,01/10/81,16.4
NZL,01/11/81,16.25
NZL,01/12/81,15.85
NZL,01/01/82,16.62
NZL,01/02/82,17
NZL,01/03/82,17.87
NZL,01/04/82,18
NZL,01/05/82,16.63
NZL,01/06/82,16.63
NZL,01/07/82,16.63
NZL,01/08/82,16.63
NZL,01/09/82,17.1
NZL,01/10/82,17.42
NZL,01/11/82,17.13
NZL,01/12/82,16.43
NZL,01/01/83,15.35
NZL,01/02/83,14.5
NZL,01/03/83,14.05
NZL,01/04/83,14.45
NZL,01/05/83,15.5
NZL,01/06/83,14.5
NZL,01/07/83,12.75
NZL,01/08/83,11.27
NZL,01/09/83,10.12
NZL,01/10/83,11.12
NZL,01/11/83,11.55
NZL,01/12/83,11.87
NZL,01/01/84,13.5
NZL,01/02/84,13.88
NZL,01/03/84,13.25
NZL,01/04/84,14.1
NZL,01/05/84,14.25
NZL,01/06/84,16
NZL,01/07/84,15.38
NZL,01/08/84,15.25
NZL,01/09/84,16.02
NZL,01/10/84,17.6
NZL,01/11/84,15.79
NZL,01/12/84,15.25
NZL,01/01/85,17.31
NZL,01/02/85,20.27
NZL,01/03/85,26.47
NZL,01/04/85,22.07
NZL,01/05/85,24.25
NZL,01/06/85,23.73
NZL,01/07/85,24.02
NZL,01/08/85,26.13
NZL,01/09/85,27.2
NZL,01/10/85,26.57
NZL,01/11/85,22.03
NZL,01/12/85,19.61
NZL,01/01/86,22.26
NZL,01/02/86,23.52
NZL,01/03/86,22.39
NZL,01/04/86,21.54
NZL,01/05/86,17.77
NZL,01/06/86,15.31
NZL,01/07/86,16.45
NZL,01/08/86,16.49
NZL,01/09/86,16.03
NZL,01/10/86,16.28
NZL,01/11/86,18.19
NZL,01/12/86,22.67
NZL,01/01/87,23.51
NZL,01/02/87,25.23
NZL,01/03/87,26.06
NZL,01/04/87,26.35
NZL,01/05/87,22.51
NZL,01/06/87,19.22
NZL,01/07/87,18.46
NZL,01/08/87,18.1
NZL,01/09/87,19.09
NZL,01/10/87,19.77
NZL,01/11/87,18.21
NZL,01/12/87,16.81
NZL,01/01/88,16.97
NZL,01/02/88,16.76
NZL,01/03/88,15.99
NZL,01/04/88,15.9
NZL,01/05/88,16.21
NZL,01/06/88,15.86
NZL,01/07/88,14.99
NZL,01/08/88,14.5
NZL,01/09/88,14.42
NZL,01/10/88,14.26
NZL,01/11/88,14.34
NZL,01/12/88,14.51
NZL,01/01/89,13.8
NZL,01/02/89,13.4
NZL,01/03/89,13.32
NZL,01/04/89,13.34
NZL,01/05/89,13.49
NZL,01/06/89,13.52
NZL,01/07/89,13.4
NZL,01/08/89,12.98
NZL,01/09/89,13.42
NZL,01/10/89,13.85
NZL,01/11/89,13.88
NZL,01/12/89,14.07
NZL,01/01/90,13.9
NZL,01/02/90,13.83
NZL,01/03/90,13.69
NZL,01/04/90,13.59
NZL,01/05/90,13.48
NZL,01/06/90,13.82
NZL,01/07/90,13.74
NZL,01/08/90,14.49
NZL,01/09/90,14.63
NZL,01/10/90,14.53
NZL,01/11/90,13.98
NZL,01/12/90,13.03
NZL,01/01/91,12.37
NZL,01/02/91,11.95
NZL,01/03/91,11.95
NZL,01/04/91,11.35
NZL,01/05/91,10.08
NZL,01/06/91,9.85
NZL,01/07/91,9.65
NZL,01/08/91,9.44
NZL,01/09/91,8.9
NZL,01/10/91,8.04
NZL,01/11/91,8.18
NZL,01/12/91,7.83
NZL,01/01/92,7.43
NZL,01/02/92,7.48
NZL,01/03/92,7.34
NZL,01/04/92,7.07
NZL,01/05/92,6.83
NZL,01/06/92,6.77
NZL,01/07/92,6.18
NZL,01/08/92,6.14
NZL,01/09/92,6.26
NZL,01/10/92,6.23
NZL,01/11/92,6.16
NZL,01/12/92,6.87
