Date,Value
01/01/19,7.12
01/02/19,7.2
01/03/19,7.15
01/04/19,7.23
01/05/19,7.09
01/06/19,7.04
01/07/19,7.06
01/08/19,7.13
01/09/19,7.27
01/10/19,7.34
01/11/19,7.54
01/12/19,7.77
01/01/20,7.78
01/02/20,7.94
01/03/20,7.97
01/04/20,8.17
01/05/20,8.39
01/06/20,8.39
01/07/20,8.52
01/08/20,8.39
01/09/20,8.14
01/10/20,7.99
01/11/20,8.21
01/12/20,8.56
01/01/21,8.5
01/02/21,8.42
01/03/21,8.55
01/04/21,8.53
01/05/21,8.52
01/06/21,8.56
01/07/21,8.48
01/08/21,8.51
01/09/21,8.34
01/10/21,8.34
01/11/21,7.88
01/12/21,7.61
01/01/22,7.7
01/02/22,7.55
01/03/22,7.45
01/04/22,7.14
01/05/22,6.89
01/06/22,6.97
01/07/22,6.89
01/08/22,6.85
01/09/22,6.75
01/10/22,6.78
01/11/22,6.98
01/12/22,7.02
01/01/23,6.98
01/02/23,6.97
01/03/23,7.09
01/04/23,7.17
01/05/23,7.17
01/06/23,7.21
01/07/23,7.34
01/08/23,7.38
01/09/23,7.38
01/10/23,7.46
01/11/23,7.4
01/12/23,7.38
01/01/24,7.24
01/02/24,7.14
01/03/24,7.08
01/04/24,7.03
01/05/24,6.97
01/06/24,6.82
01/07/24,6.67
01/08/24,6.69
01/09/24,6.73
01/10/24,6.62
01/11/24,6.54
01/12/24,6.46
01/01/25,6.44
01/02/25,6.36
01/03/25,6.36
01/04/25,6.41
01/05/25,6.3
01/06/25,6.18
01/07/25,6.2
01/08/25,6.24
01/09/25,6.2
01/10/25,6.17
01/11/25,6.17
01/12/25,6.15
01/01/26,6.09
01/02/26,6.02
01/03/26,6.05
01/04/26,5.98
01/05/26,5.86
01/06/26,5.8
01/07/26,5.79
01/08/26,5.81
01/09/26,5.79
01/10/26,5.81
01/11/26,5.77
01/12/26,5.68
01/01/27,5.61
01/02/27,5.59
01/03/27,5.54
01/04/27,5.48
01/05/27,5.5
01/06/27,5.55
01/07/27,5.55
01/08/27,5.48
01/09/27,5.42
01/10/27,5.38
01/11/27,5.35
01/12/27,5.32
01/01/28,5.35
01/02/28,5.33
01/03/28,5.32
01/04/28,5.33
01/05/28,5.42
01/06/28,5.55
01/07/28,5.58
01/08/28,5.61
01/09/28,5.59
01/10/28,5.58
01/11/28,5.55
01/12/28,5.6
01/01/29,5.63
01/02/29,5.66
01/03/29,5.79
01/04/29,5.8
01/05/29,5.8
01/06/29,5.94
01/07/29,5.95
01/08/29,6.04
01/09/29,6.12
01/10/29,6.11
01/11/29,6.03
01/12/29,5.95
01/01/30,5.92
01/02/30,5.89
01/03/30,5.73
01/04/30,5.7
01/05/30,5.72
01/06/30,5.78
01/07/30,5.77
01/08/30,5.73
01/09/30,5.65
01/10/30,5.94
01/11/30,6.25
01/12/30,6.71
01/01/31,6.41
01/02/31,6.38
01/03/31,6.44
01/04/31,6.72
01/05/31,7.15
01/06/31,7.36
01/07/31,7.08
01/08/31,7.47
01/09/31,8.07
01/10/31,9.04
01/11/31,8.93
01/12/31,10.42
01/01/32,9.13
01/02/32,8.87
01/03/32,8.83
01/04/32,10.46
01/05/32,11
01/06/32,11
01/07/32,10.79
01/08/32,8.22
01/09/32,7.61
01/10/32,7.87
01/11/32,8.24
01/12/32,8.42
01/01/33,8.01
01/02/33,8.37
01/03/33,8.91
01/04/33,9.12
01/05/33,7.74
01/06/33,7.07
01/07/33,6.62
01/08/33,6.77
01/09/33,7.27
01/10/33,7.49
01/11/33,7.98
01/12/33,7.75
01/01/34,7.01
01/02/34,6.27
01/03/34,6.26
